arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force_kn,average_pressure_mpa
-64.53366366481062,-12.325021881701337,0,3.0342811314606006,0.0,0.0,0.0,0.0,0.0
-61.49936960399902,-11.745514403414283,0,3.0342811230063726,0.0,0.0,0.0,0.0,0.0
-58.46507558167584,-11.166006932477973,0,3.034281054484222,0.0,0.0,0.0,0.0,0.0
-55.43078184264445,-10.58649951564641,1,3.034280556430848,3.034280556430848,0.002105982826037689,0.002153159293754925,0.003195071370611724,1.0529914130188445
-52.39648997599797,-10.006992456414027,1,3.034277309761209,3.034277309761209,0.00242418981326864,0.002560730235245501,0.0036778320724776483,1.21209490663432
-49.36220924074011,-9.427487523120266,1,3.0342582939388416,3.0342582939388416,0.002800043162238808,0.0028805017724380377,0.004248027094204921,1.400021581119404
-46.32798786338137,-8.847993926350176,1,3.03415859548095,3.03415859548095,0.003079043439242923,0.0031596657140653406,0.004671153058519071,1.5395217196214617
-43.2940503654887,-8.268554546564406,1,3.0336905422659295,3.0336905422659295,0.0033417382698530673,0.0034127829261478837,0.005068899891990681,1.6708691349265337
-40.2613291714446,-7.689347463702398,1,3.031726018862001,3.031726018862001,0.003577348757630716,0.0036423338798385885,0.005422770653526349,1.788674378815358
-37.23326746614202,-7.1110302776389815,1,3.024371683537453,3.024371683537453,0.0037905519899652518,0.0038486598113536274,0.005732019051713725,1.8952759949826259
-34.2209855048754,-6.535726800692424,1,3.0001669294940183,3.0001669294940183,0.003978533962225583,0.004028957583159354,0.005968133010669,1.9892669811127917
-31.254923195771145,-5.969250627077419,1,2.9319335180343735,2.9319335180343735,0.0041365055397193365,0.004177286851586359,0.006063979619718996,2.0682527698596687
-28.40111466805819,-5.424213346489434,1,2.775661968597496,2.775661968597496,0.004259569592363732,0.004289839344437496,0.005911562660059175,2.129784796181866
-25.761754086091937,-4.920132606623238,1,2.503042034702381,2.503042034702381,0.004352945166232302,0.004376585826832979,0.005447802362916999,2.1764725831161513
-23.43468345619195,-4.475694854216173,1,2.15108735669477,2.15108735669477,0.004431933443697744,0.004453896686356984,0.004766737998225466,2.2159667218488726
-21.45901320327983,-4.0983696302114785,1,1.8002458399016603,1.8002458399016603,0.00450567004054392,0.004526278641947101,0.004055656873229367,2.2528350202719594
-19.80680641818049,-3.782821377981244,1,1.5041634536279922,1.5041634536279922,0.004572119357789006,0.004589875287592804,0.003438607421805655,2.286059678894503
-18.418437739436122,-3.5176624923138884,1,1.272571374210316,1.272571374210316,0.004628193257531166,0.004642811608846387,0.002944853126923677,2.314096628765583
-17.234304957906588,-3.2915097897647914,1,1.0956926257553086,1.0956926257553086,0.004674019652213701,0.004685859182245622,0.002560644432782972,2.3370098261068506
-16.206445724369267,-3.0952031363806576,1,0.9600248226926779,0.9600248226926779,0.004711117774661488,0.00472069685565657,0.0022613950031518597,2.3555588873307443
-15.299560320075312,-2.9220007824871277,1,0.8537452881709815,0.8537452881709815,0.004741605564788642,0.004749628617616963,0.0020240617046518045,2.3708027823943216
-14.48754752665753,-2.7669177625755697,1,0.7702797989835279,0.7702797989835279,0.004767007215093599,0.0047736498119093085,0.0018359646796976626,2.3835036075467997
-13.751000225753174,-2.6262475900636635,1,0.7028144305171833,0.7028144305171833,0.0047882868771012,0.004793930098855981,0.001682638557341391,2.3941434385506
-13.076001808086879,-2.497332388362705,1,0.6471821186013118,0.6471821186013118,0.004806573139546799,0.004811487496340305,0.0015553640938320281,2.4032865697733996
-12.451774547192151,-2.3781137633417733,1,0.601272177055518,0.601272177055518,0.004822480180138201,0.004826749757455673,0.0014498115783593913,2.4112400900691
-11.869780326305257,-2.2669610548156944,1,0.5627160815883003,0.5627160815883003,0.004836289779063918,0.004839993177370161,0.0013607290169501973,2.418144889531959
-11.323886318984844,-2.16270297921255,1,0.5290717819972447,0.5290717819972447,0.004848602327399476,0.004852007582144324,0.0012826293367766144,2.424301163699738
-10.808856074297513,-2.0643394480719697,1,0.5009885805997649,0.5009885805997649,0.004859651743714721,0.004862625872419812,0.0012173150146464055,2.4298258718573607
-10.3202021624206,-1.971013425428287,1,0.47631913490858757,0.47631913490858757,0.004869480347821309,0.004872180766369638,0.0011597133333643068,2.434740173910654
-9.854720417109242,-1.8821129606058726,1,0.4546442621757449,0.4546442621757449,0.004878416100041249,0.004880874740422314,0.0011089719441947643,2.4392080500206244
-9.409598253971918,-1.797100889554198,1,0.43559998232594277,0.43559998232594277,0.004886566386716141,0.004888813316540563,0.0010642941158440485,2.44328319335807
-8.98237015595944,-1.7155063332024767,1,0.41885614141303246,0.41885614141303246,0.004894022795809861,0.004896080825801619,0.0010249457521201697,2.44701139790493
-8.570914444429434,-1.6369240807784045,1,0.4040552170862272,0.4040552170862272,0.0049007986371805146,0.004902652641021632,0.0009900966286209296,2.4503993185902573
-8.173762659001671,-1.5610736770080842,1,0.39024829571461034,0.39024829571461034,0.004907103201702512,0.004908889139869643,0.0009574943306800565,2.453551600851256
-7.789309495689345,-1.4876485314139172,1,0.37865797825927716,0.37865797825927716,0.004912903431147697,0.004914466256991545,0.0009301550403107264,2.4564517155738486
-7.416269379767648,-1.4164031173093032,1,0.367422205485141,0.367422205485141,0.004918246889957346,0.004919769111495498,0.0009035365597142816,2.4591234449786725
-7.053628248458832,-1.347143762969821,1,0.35786001295166464,0.35786001295166464,0.004923267105596096,0.00492464330693565,0.0008809202150865618,2.461633552798048
