arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force,average_pressure_mpa
-0.2527957913446113,-28.968263845432023,0,0.018006219759136896,0.0,0.0,0.0,0.0,0.0
-0.2347885985722975,-26.904791551967904,0,0.01800621948565674,0.0,0.0,0.0,0.0,0.0
-0.21678140842993154,-24.841319559873607,0,0.018006214500093633,0.0,0.0,0.0,0.0,0.0
-0.19877425665613102,-22.77785196449304,0,0.018006142760967046,0.0,0.0,0.0,0.0,0.0
-0.180767547728919,-20.714435115593457,0,0.018005328950502626,0.0,0.0,0.0,0.0,0.0
-0.16276487986498056,-18.651481338434518,0,0.017998061944136654,0.0,0.0,0.0,0.0,0.0
-0.14479118886196796,-16.591848064944752,1,0.017947384593270277,0.008973692296635138,0.00025109097649569917,0.0005021819529913985,45.064263230681014,0.0025109097649569923
-0.12697694651653357,-14.550486261711509,1,0.017679215373648503,0.017679215373648503,0.0013432311919036877,0.001585552134112253,237.47273538267876,0.013432311919036875
-0.10979112428471716,-12.581136099021144,1,0.016690732957441685,0.016690732957441685,0.002038405955135006,0.002197444349611874,340.2248945601724,0.02038405955135006
-0.09420712592469505,-10.795341431085017,1,0.014475983081880478,0.014475983081880478,0.0024942569664099037,0.002598404276002955,361.06821647612287,0.024942569664099034
-0.08116456035736253,-9.300773509023411,1,0.011608381692062493,0.011608381692062493,0.0027914143795529298,0.0028588309824297,324.0380357856221,0.027914143795529294
-0.07079210516685008,-8.112177697813557,1,0.009136140857186498,0.009136140857186498,0.0029851661035307235,0.0030296121106484913,272.72898003955254,0.029851661035307227
-0.06254150119141699,-7.166728125361207,1,0.007364873409625183,0.007364873409625183,0.003115611430473564,0.003146478067980782,229.46083779019028,0.031156114304735638
-0.055787162932563916,-6.392737974089163,1,0.006143697876670342,0.006143697876670342,0.0032081779391787066,0.003230754600390351,197.10075992912854,0.032081779391787066
-0.05007175985927903,-5.737801025458515,1,0.0052870449886049786,0.0052870449886049786,0.0032771124360575295,0.003294335125175324,173.26240882153013,0.03277112436057529
-0.04509489944203837,-5.167494831191299,1,0.0046666342761570246,0.0046666342761570246,0.003330433337509812,0.003343995485198911,155.41914367279327,0.033304333375098125
-0.04065954975315944,-4.659241195516448,1,0.0042040357797876494,0.0042040357797876494,0.0033728632660862054,0.0033837980490823844,141.7963785095784,0.033728632660862054
